id,lang,presentation,structure,structure_autre,issue,issue_autre,duree,role,role_autre,nb_acteurs_differents,comprehension_sig_acteurs,repartition_roles,repartition_roles_autre,copil,alea_reprise,alea_detail,alea_reprise_autre,specificite_sig,conseil,techno_nb,techno,techno_note,docs_presence,docs_nb_formats,docs_formats,docs_note,methode_nb,methode_proj,methode_autre,methode_note,outil_proj_nb,outil_proj,outil_proj_autre,outil_proj_note,influence_nb,influence,influence_orga_com,influence_humaine_com,influence_budget_com,influence_technique_com,influence_politique_com,influence_autre_com
136,fr,Carto biodiversité,Autre,Association ,Succès,,Plus de 5 ans,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,2,Plusieurs personnes impliquées durablement,,Oui,"Oui, reprise fluide",Utilisation de FME pour l'agrégation des données ,,La multiplicité des acteurs,L'humain ,2,"libre, proprio",7,"Oui, mais peu claire ou obsolète",1,wiki,5,0,rien,,9,0,rien,,4,3,"Orga, humaine, budget",,,Parfois compliqué ,,,
160,fr,Correction du Plan d'Action de Réinstallation (PAR) dans le cadre d’un projet d’accès l’énergie électrique,"Privé (entreprise, bureau d’études)",,Succès,,1 à 6 mois,Prestataire externe / consultant·e,,Plus de 5,1,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Oui,"Oui, reprise fluide",,,,,2,"libre, standards",9,"Oui, mais peu claire ou obsolète",3,"qgz, docx, mails",8,0,nsp,,8,3,"excel, monday, autre",Kobocollect/kobotoolbox,9,2,"humaine, budget",,Personnelle non compétant,Moyen financier intéressant,,,
165,fr,"Application de gestion des composteurs de déchêts (enquêtes, livraison, suivi des adresse et des composteurs livrés) ","Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 6 mois,Chef·fe de projet / coordinateur·rice,,Plus de 5,3,Une personne clé portait le projet,,Non,"Non concerné (même équipe, projet actif)",,,"la dimension saptiale, la rapidité de dévelopement des outils ESRI, la transversalité avec les différents servcies ","Savoir traduire un besoin en fonctionalités simple. Eviter le côté usine à gaz. rendre l'application facile d'utilisation. Etre à l'écoute, tenir un plannig savoir communiquer et être pédagogue ",1,proprio,9,"Non, ou documentation informelle",5,"comments, qgz, docx, mails, tuto",5,1,autre,Methode personelle ,5,0,rien,,5,1,technique,,,,,,
171,fr,Cartographie historique sur la région Lorraine : SIGisbert,"Public d’État (ministère, service déconcentré, agence nationale)",,"Échec (abandon, gel, oubli)",,1 à 3 ans,Chef·fe de projet / coordinateur·rice,,2 – 3,1,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Non,"Non, projet abandonné ou figé après aléas",Dispersion des acteurs accaparés par d'autres tâches,,,,1,libre,5,"Oui, structurée et à jour",4,"catalog, qgz, docx, mails",5,0,rien,,1,0,rien,,1,2,"Orga, humaine",Pilotage insuffisant de ma part,Personnel insuffisant ne permettant pas la suivi de projets pérennes de façon continue,,,,
175,fr,Atlas patrimoine UNESCO ,"Parapublic (syndicat mixte, EPIC…)",,Succès,,1 à 6 mois,Prestataire externe / consultant·e,,2 – 3,2,Rôle tournant,,Non,"Non concerné (même équipe, projet actif)",,,Complexité de la données.,"Bien organisé les fichiers, bien documenter les métadonnées, bien documenter le projet pour sa transmission.",1,libre,10,"Non, ou documentation informelle",1,mails,5,0,nsp,,3,0,rien,,5,2,"humaine, technique",,,,,,
187,fr,Déploiement d'une solution Qfield pour la saisie de terrain,"Public territorial (collectivité, EPCI, département, région)",,Succès,,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,2,Une personne clé portait le projet,,Non,"Non concerné (même équipe, projet actif)",,,,,2,"libre, code",10,"Oui, structurée et à jour",3,"qgz, docx, tuto",10,0,nsp,,5,1,excel,,5,2,"budget, technique",,,Solution open source = coût limité,Avoir les moyens techniques de mettre ne place les solutions informatiques adaptés,,
197,fr,Evolution du SIG d'une collectivité,"Public territorial (collectivité, EPCI, département, région)",,Succès,,6 mois à 1 an,Chef·fe de projet / coordinateur·rice,,Plus de 5,3,Une personne clé portait le projet,,Oui,"Oui, reprise fluide",Evolutions règlementaires dans certains services (notamment eau et assainissement),,"transversalité, multiplicité des utilisateurs, diversité des profils","Capacité de s'adapter, communiquer, communiquer, communiquer, patience",2,"libre, standards",10,"Oui, structurée et à jour",2,"docx, mails",8,0,rien,,10,1,excel,,10,2,"Orga, humaine",deux personnes impliquées et engagées côté commanditaire,personnes en charge et parties prenantes compétentes,,,,
207,fr,"Mise en place d'un systéme de gestion des ressources Forestière en cobinant les technologie SIG, Télédetection, WebMappin, Sql et IA","Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,1 seul,5,Une personne clé portait le projet,,Non,"Oui, reprise fluide",Volonté et combinaison entre Téorie et expérience professionnelle ,,la variante spatiale,nécessité de combinais expérience train et téorie,3,"libre, code, standards",10,"Oui, structurée et à jour",1,docx,6,0,nsp,,6,4,"excel, monday, git, notion",,10,4,"Orga, budget, politique, technique",,,,,,
229,fr,Création d'un plugin QGIS maison,Autre,Association,Échec puis relance,,1 à 3 ans,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Une personne clé portait le projet,,Non,Autre,"Départ d'agent puis manque de temps dédié, puis départ d'agent",,,"Négociez du temps dédié EN CONTINU, pas ""quand vous avez un moment""",2,"libre, code",10,"Oui, mais peu claire ou obsolète",6,"comments, qgz, docx, mails, tuto, wiki",6,0,rien,,6,1,trello,,6,3,"Orga, humaine, politique",,,,,,
253,fr,Délimitation cadastrale des sites inscrits Auvergne-Rhône-Alpes,"Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,Plus de 5 ans,Prestataire externe / consultant·e,,2 – 3,4,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",,,,,1,libre,10,"Oui, structurée et à jour",1,docx,10,0,rien,,10,0,rien,,10,1,technique,,,,,,
260,fr,Cartographie de zones naturelles autour de sites,"Privé (entreprise, bureau d’études)",,Succès,,Moins de 1 mois,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,4,Une personne clé portait le projet,,Non,"Non concerné (même équipe, projet actif)",,,,,1,libre,10,"Non, ou documentation informelle",2,"qgz, docx",8,0,rien,,1,0,rien,,1,1,technique,,,,,,
270,fr,"Etudes des besoins, production et utilisations de boitiers GNSS RTK Centipede","Parapublic (syndicat mixte, EPIC…)",,Succès,,1 à 3 ans,Chef·fe de projet / coordinateur·rice,,4 – 5,4,Une personne clé portait le projet,,Non,"Non concerné (même équipe, projet actif)","Insistance et persuasion, stratégie",,"Transversalité, IG utile pour tout et présente partout","Dialogue, transversalité, géomatique de service, disponibilité, écoute des utilisateurs, identifier les besoins et usages",1,libre,9,"Oui, structurée et à jour",3,"qgz, docx, tuto",9,0,rien,,5,1,excel,,5,2,"budget, technique",,,Peu onéreux,Bien documentée,,
271,fr,Cartographie des zones d'activités d'un EPCI,"Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 3 ans,Chef·fe de projet / coordinateur·rice,,2 – 3,3,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Non,"Non concerné (même équipe, projet actif)",,,"manipulation de données différentes, logiciels différents",Structurer le besoin ,1,libre,8,"Non, ou documentation informelle",1,qgz,5,0,rien,,7,0,rien,,5,1,humaine,,compétence et connaissance,,,,
301,fr,Carto web pour équipes métier de l'assurance pour analyse pré-souscription des expositions aux risques ,"Privé (entreprise, bureau d’études)",,Succès,,3 à 5 ans,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,1,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Je ne sais pas,"Non concerné (même équipe, projet actif)",,,La proximité avec les acteurs spécialisés,La communication est la clé ,1,proprio,4,"Non, ou documentation informelle",3,"comments, docx, tuto",3,3,"kamban, scrum, waterfall",,5,1,jira,,5,2,"humaine, technique",,,,,,
304,fr,Géocodage de 100 000 sujets d'étude,"Public d’État (ministère, service déconcentré, agence nationale)",,Autre,Encore en cours,Plus de 5 ans,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Plusieurs personnes impliquées durablement,,Non,"Oui, reprise fluide",Changement régulier d'agent,,L'utilisation de logiciels spécifiques qui n'est pas commun pour tous. La compréhension du fonctionnement des projets impliquant des SIG.,,1,proprio,9,"Oui, structurée et à jour",3,"qgz, docx, mails",7,0,rien,,5,0,rien,,5,3,"Orga, humaine, technique",Réussite,Réussite,,Réussite,,
